  191 2 2  24 1 10 0 0.
  192 1 2  24 2 -1 0-1.
  192 2 2  24 1 25 0 0.
  193 1 2  24 2 -1 0-1.
  196 1 2  24 1  8 0 0.
  196 2 2  24 1 15 0 0.
  199 1 2  24 2 -1 0-1.
  200 3 2  24 2 -1 0-1.
  201 1 2  24 2 -1 0-1.
  201 2 2  24 2 -1 0-1.
  205 1 2  24 1  3 0 0.
  215 1 2  24 2 -1 0-1.
  215 2 2  24 2 -1 0-1.
  221 1 2  24 2 -1 0-1.
  221 2 2  24 1 20 0 0.
  224 1 2  24 2 -1 0-1.
  226 1 2  24 2 -1 0-1.
  226 2 2  24 2 -1 0-1.
  228 1 2  24 2 -1 0-1.
  228 2 2  24 2 -1 0-1.
  230 1 2  24 2 -1 0-1.
  230 2 2  24 1  8 0 0.
  233 1 2  24 2 -1 0-1.
  233 2 2  24 1 40 0 0.
  234 1 2  24 2 -1 0-1.
  234 2 2  24 2 -1 0-1.
  235 1 2  24 2 -1 0-1.
  235 2 2  24 1  8 0 0.
  239 1 2  24 1  8 0 0.
  239 4 2  24 2 -1 0-1.
  240 1 2  24 2 -1 0-1.
  243 1 2  24 1  8 0 0.
  244 1 2  24 2 -1 0-1.
  245 1 2  24 2 -1 0-1.
  248 1 2  24 1  8 0 0.
  249 1 2  24 1 16 0 0.
  266 1 2  24 1 40 0 0.
  266 2 2  24 1 40 0 0.
  267 1 2  24 2 -1 0-1.
  267 2 2  24 2 -1 0-1.
  267 4 2  24 2 -1 0-1.
  269 1 2  24 2 -1 0-1.
  269 2 2  24 2 -1 0-1.
  280 1 2  24 2 -1 0-1.
  288 1 2  24 1  8 0 0.
  289 1 2  24 1 50 0 0.
  289 2 2  24 1 16 0 0.
  289 3 2  24 2 -1 0-1.
  289 4 2  24 2 -1 0-1.
  294 1 2  24 2 -1 0-1.
  296 1 2  24 2 -1 0-1.
  297 1 2  24 1 32 0 0.
  300 1 2  24 1 40 0 0.
  300 2 2  24 2 -1 0-1.
  304 1 2  24 1 32 0 0.
  309 1 2  24 2 -1 0-1.
  310 1 2  24 2 -1 0-1.
  311 3 2  24 2 -1 0-1.
  312 1 2  24 2 -1 0-1.
  314 2 2  24 2 -1 0-1.
  316 1 2  24 1 20 0 0.
  325 1 2  24 2 -1 0-1.
  325 2 2  24 2 -1 0-1.
  329 1 2  24 2 -1 0-1.
  330 1 2  24 2 -1 0-1.
  331 1 2  24 2 -1 0-1.
  332 1 2  24 2 -1 0-1.
  332 2 2  24 2 -1 0-1.
  333 1 2  24 2 -1 0-1.
  333 2 2  24 2 -1 0-1.
  335 1 2  24 2 -1 0-1.
  335 4 2  24 2 -1 0-1.
