  318 2 1  24 1  8 0 0.
  319 1 1  24 2 -1 0-1.
  319 2 1  24 2 -1 0-1.
  320 1 1  24 1 48 0 0.
  322 1 1  24 1  8 0 0.
  323 2 1  24 1 40 0 0.
  324 1 1  24 1 16 0 0.
  324 2 1  24 1 24 0 0.
  333 1 1  24 2 -1 0-1.
  333 2 1  24 2 -1 0-1.
  335 1 1  24 1 14 0 0.
  335 2 1  24 1  8 0 0.
  337 1 1  24 2 -1 0-1.
  338 1 1  24 2 -1 0-1.
  339 1 1  24 1 16 0 0.
  340 1 1  24 1 16 0 0.
  341 1 1  24 1 16 0 0.
  341 2 1  24 1 40 0 0.
  344 1 1  24 1 40 0 0.
  345 2 1  24 1 24 0 0.
  345 3 1  24 1 16 0 0.
  346 1 1  24 1 24 0 0.
  347 1 1  24 2 -1 0-1.
  348 1 1  24 2 -1 0-1.
  349 1 1  24 1 25 0 0.
  349 2 1  24 2 -1 0-1.
  350 1 1  24 1  8 0 0.
  351 1 1  24 2 -1 0-1.
  353 1 1  24 1 30 0 0.
  354 1 1  24 1  8 0 0.
  354 2 1  24 1  8 0 0.
  356 1 1  24 1 40 0 0.
  356 2 1  24 1 30 0 0.
  357 1 1  24 1  8 0 0.
  357 2 1  24 1  8 0 0.
  358 1 1  24 1 24 0 0.
  359 1 1  24 2 -1 0-1.
  364 1 1  24 1 10 0 0.
  366 1 1  24 2 -1 0-1.
  366 2 1  24 2 -1 0-1.
  366 4 1  24 2 -1 0-1.
  374 1 1  24 2 -1 0-1.
  375 1 1  24 2 -1 0-1.
  377 1 1  24 2 -1 0-1.
  380 1 1  24 2 -1 0-1.
  380 2 1  24 2 -1 0-1.
  382 1 1  24 2 -1 1-1.
  382 2 1  24 2 -1 1-1.
  397 1 1  24 2 -1 0-1.
  398 1 1  24 2 -1 1-1.
  398 2 1  24 2 -1 1-1.
  399 1 1  24 2 -1 0-1.
  407 1 1  24 2 -1 0-1.
  408 1 1  24 1 40 0 0.
  408 2 1  24 2 -1 0-1.
  412 1 1  24 2 -1 0-1.
  412 2 1  24 1 20 0 0.
  412 3 1  24 1  8 0 0.
  416 1 1  24 2 -1 0-1.
  416 2 1  24 2 -1 0-1.
  417 1 1  24 1 40 0 0.
  423 1 1  24 2 -1 0-1.
